"","Category","Year","catTotal"
"1","Admin","2016",534.77
"2","Admin","2017",304.91
"3","Admin","2018",86.82
"4","Electricity","2016",1599.05
"5","Electricity","2017",1958.83
"6","Electricity","2018",803.91
"7","Insurance","2016",925
"8","Insurance","2017",1119
"9","Insurance","2018",1124
"10","Lawn","2016",14478
"11","Lawn","2017",15438
"12","Lawn","2018",8498.98
"13","Prof Serv","2016",4800
"14","Prof Serv","2017",3380.46
"15","Prof Serv","2018",6166.25
"16","Repair","2016",481.63
"17","Repair","2017",9503.97
"18","Repair","2018",12045
"19","Snow","2016",15000
"20","Snow","2017",3160
"21","Snow","2018",4185
"22","Taxes","2016",16159.34
"23","Taxes","2017",2533.6
"24","Taxes","2018",235
"25","Tree Care","2016",876
"26","Tree Care","2017",2510
